"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",201229,2020-12-29,090741,CME ,00,090 ,  166005,    3212,   86077,    3658,   60572,   18447,    5777,   25160,   25588,   10961,   14756,     435,     230,  124325,  151172,   41680,   14833,   -3209,     330,    3287,    -247,   -2166,     363,     126,     230,   -6318,    -692,     499,     427,       0,   -1921,   -3055,   -1288,    -154,  100.0,    1.9,   51.9,    2.2,   36.5,   11.1,    3.5,   15.2,   15.4,    6.6,    8.9,    0.3,    0.1,   74.9,   91.1,   25.1,    8.9,    104,      4,      9,      6,     23,     10,      8,     22,     19,     13,     14,.,.,     78,     55,    22.8,    49.5,    31.4,    61.8,    20.1,    49.3,    28.1,    60.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",201221,2020-12-21,090741,CME ,00,090 ,  169214,    2882,   82790,    3905,   62738,   18084,    5651,   24930,   31906,   11653,   14257,       8,     230,  126246,  154227,   42968,   14987,  -40424,   -4103,   21403,  -35661,    2349,     418,    -725,    2785,  -22743,   -1416,     795,    -393,       0,  -35974,  -39116,   -4450,   -1308,  100.0,    1.7,   48.9,    2.3,   37.1,   10.7,    3.3,   14.7,   18.9,    6.9,    8.4,    0.0,    0.1,   74.6,   91.1,   25.4,    8.9,    106,.,     11,      5,     24,      9,      7,     22,     23,     18,     13,.,.,     81,     57,    22.0,    48.3,    31.5,    58.5,    20.5,    48.2,    28.9,    57.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",201215,2020-12-15,090741,CME ,00,090 ,  209638,    6985,   61387,   39566,   60388,   17666,    6376,   22145,   54649,   13069,   13462,     401,     230,  162220,  193343,   47418,   16295,   36268,    -226,     639,   36629,   -4463,   -2389,    1151,    1479,    1071,     880,     456,      -7,    -124,   35781,   37850,     487,   -1582,  100.0,    3.3,   29.3,   18.9,   28.8,    8.4,    3.0,   10.6,   26.1,    6.2,    6.4,    0.2,    0.1,   77.4,   92.2,   22.6,    7.8,    109,      5,     10,     10,     23,     10,     10,     20,     27,     17,     12,.,.,     80,     68,    28.3,    42.6,    37.9,    56.5,    16.0,    28.5,    22.9,    41.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",201208,2020-12-08,090741,CME ,00,090 ,  173370,    7211,   60748,    2937,   64851,   20055,    5224,   20666,   53578,   12189,   13006,     408,     354,  126439,  155494,   46931,   17876,   16184,    1540,    3281,    -104,    1662,    -145,     894,    5493,    6400,    3210,    -398,     405,      20,   12317,   13960,    3867,    2224,  100.0,    4.2,   35.0,    1.7,   37.4,   11.6,    3.0,   11.9,   30.9,    7.0,    7.5,    0.2,    0.2,   72.9,   89.7,   27.1,   10.3,    107,      4,      9,      7,     23,     10,     11,     19,     28,     19,     12,.,.,     80,     66,    21.4,    32.7,    32.2,    48.8,    20.9,    32.6,    29.7,    48.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",201201,2020-12-01,090741,CME ,00,090 ,  157186,    5670,   57467,    3041,   63189,   20201,    4331,   15173,   47178,    8979,   13404,       3,     334,  114121,  141534,   43065,   15652,    7726,     338,    3766,     107,    5354,    1026,    -301,   -3317,    2464,    1293,    -376,      -0,     183,    3281,    8538,    4445,    -812,  100.0,    3.6,   36.6,    1.9,   40.2,   12.9,    2.8,    9.7,   30.0,    5.7,    8.5,    0.0,    0.2,   72.6,   90.0,   27.4,   10.0,    100,.,      9,      7,     23,     11,      9,     14,     27,     16,     12,.,.,     72,     62,    23.7,    34.6,    34.8,    50.5,    23.4,    34.6,    32.2,    50.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",201124,2020-11-24,090741,CME ,00,090 ,  149460,    5332,   53702,    2934,   57835,   19175,    4632,   18490,   44714,    7686,   13780,       3,     151,  110841,  132996,   38619,   16464,    5218,   -1070,    5341,     490,    -566,   -4461,    -711,    4545,    3773,       5,    1135,      -6,       2,    3829,    4432,    1389,     786,  100.0,    3.6,   35.9,    2.0,   38.7,   12.8,    3.1,   12.4,   29.9,    5.1,    9.2,    0.0,    0.1,   74.2,   89.0,   25.8,   11.0,    105,      4,      8,      7,     23,     11,      9,     19,     27,     19,     12,.,.,     77,     65,    23.8,    35.8,    32.5,    50.2,    21.0,    35.7,    29.7,    49.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",201117,2020-11-17,090741,CME ,00,090 ,  144242,    6402,   48361,    2444,   58401,   23636,    5343,   13945,   40941,    7681,   12646,       8,     149,  107012,  128564,   37230,   15678,    -223,     407,     750,    -301,      45,    2236,     177,    -347,   -3003,     586,     472,       0,      -0,    1038,     445,   -1261,    -668,  100.0,    4.4,   33.5,    1.7,   40.5,   16.4,    3.7,    9.7,   28.4,    5.3,    8.8,    0.0,    0.1,   74.2,   89.1,   25.8,   10.9,    104,      5,      8,      7,     21,     13,     11,     14,     30,     15,     11,.,.,     71,     68,    25.8,    35.1,    35.2,    49.3,    23.9,    35.0,    32.4,    48.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",201110,2020-11-10,090741,CME ,00,090 ,  144465,    5995,   47611,    2745,   58356,   21400,    5166,   14293,   43944,    7096,   12173,       8,     149,  105973,  128119,   38492,   16346,    9947,      49,    5286,     184,   -1582,     436,    1300,    4164,    5481,      21,     484,      -7,      66,    4685,   12767,    5262,   -2820,  100.0,    4.1,   33.0,    1.9,   40.4,   14.8,    3.6,    9.9,   30.4,    4.9,    8.4,    0.0,    0.1,   73.4,   88.7,   26.6,   11.3,    104,      4,      9,      7,     23,     12,     13,     12,     32,     16,     11,.,.,     71,     71,    25.9,    34.6,    35.1,    48.3,    23.9,    34.6,    32.2,    47.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",201103,2020-11-03,090741,CME ,00,090 ,  134518,    5946,   42324,    2562,   59939,   20964,    3865,   10129,   38463,    7074,   11690,      15,      83,  101288,  115351,   33230,   19167,    2895,     -25,    4772,     294,    3714,   -1398,    -534,   -2674,   -1911,    1038,      71,    -397,      45,    1928,    1909,     967,     986,  100.0,    4.4,   31.5,    1.9,   44.6,   15.6,    2.9,    7.5,   28.6,    5.3,    8.7,    0.0,    0.1,   75.3,   85.8,   24.7,   14.2,     96,      6,      8,      5,     23,     12,     12,     11,     25,     12,     10,.,.,     66,     61,    28.9,    35.1,    38.4,    49.2,    26.8,    34.9,    36.2,    48.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",201027,2020-10-27,090741,CME ,00,090 ,  131623,    5971,   37552,    2268,   56225,   22362,    4400,   12803,   40374,    6036,   11619,     412,      38,   99359,  113442,   32264,   18181,   -2838,     -92,    2820,    -972,    -305,    2457,     642,     -38,   -4888,   -1889,     284,     400,      -2,   -2370,   -1432,    -468,   -1406,  100.0,    4.5,   28.5,    1.7,   42.7,   17.0,    3.3,    9.7,   30.7,    4.6,    8.8,    0.3,    0.0,   75.5,   86.2,   24.5,   13.8,    104,      6,      8,      6,     22,     13,     13,     10,     32,     14,     11,.,.,     69,     70,    26.9,    32.8,    35.9,    45.9,    25.6,    32.6,    33.6,    45.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
