"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",211228,2021-12-28,090741,CME ,00,090 ,  156575,   32890,   15435,    7064,   40268,   41950,    5120,   12818,   41562,   12677,   13410,    4922,     460,  124708,  129191,   31867,   27384,   -8782,   -1197,     521,    -968,   -1267,   -3678,     -15,   -3532,   -2649,   -1969,     -54,     146,     -23,   -9025,   -8636,     243,    -146,  100.0,   21.0,    9.9,    4.5,   25.7,   26.8,    3.3,    8.2,   26.5,    8.1,    8.6,    3.1,    0.3,   79.6,   82.5,   20.4,   17.5,    111,      6,      8,      8,     16,     21,     12,     14,     28,     16,     12,      4,.,     70,     79,    29.9,    17.5,    41.5,    29.2,    29.1,    17.3,    38.6,    27.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",211221,2021-12-21,090741,CME ,00,090 ,  165357,   34088,   14914,    8032,   41535,   45629,    5135,   16350,   44211,   14646,   13463,    4777,     484,  133733,  137827,   31624,   27530,  -40356,   29156,   -8048,  -38089,   -4848,    6995,     406,  -11425,    1452,   -3288,     621,     466,     -32,  -27500,  -40140,  -12856,    -216,  100.0,   20.6,    9.0,    4.9,   25.1,   27.6,    3.1,    9.9,   26.7,    8.9,    8.1,    2.9,    0.3,   80.9,   83.4,   19.1,   16.6,    118,      8,      6,      8,     19,     21,     12,     16,     31,     17,     13,.,.,     77,     81,    28.5,    17.5,    39.2,    28.8,    27.5,    17.4,    37.2,    27.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",211214,2021-12-14,090741,CME ,00,090 ,  205713,    4931,   22961,   46121,   46383,   38634,    4730,   27775,   42759,   17935,   12842,    4311,     516,  161233,  177967,   44480,   27746,   34966,  -10635,    1134,   32777,    -290,   -3273,     554,   -2378,    2708,    1924,    1970,     539,    -492,   23431,   35872,   11535,    -906,  100.0,    2.4,   11.2,   22.4,   22.5,   18.8,    2.3,   13.5,   20.8,    8.7,    6.2,    2.1,    0.3,   78.4,   86.5,   21.6,   13.5,    108,      5,      8,      9,     18,     18,      9,     16,     26,     17,     12,.,.,     69,     76,    24.2,    27.9,    34.9,    38.2,    13.9,    16.7,    22.7,    24.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",211207,2021-12-07,090741,CME ,00,090 ,  170747,   15567,   21827,   13344,   46673,   41908,    4176,   30153,   40051,   16010,   10872,    3772,    1008,  137802,  142096,   32945,   28651,   -3288,    -208,   -3986,    1583,    -510,    3269,    -589,   -1731,   -1502,   -2317,    1063,    -509,      81,   -2628,   -3969,    -660,     681,  100.0,    9.1,   12.8,    7.8,   27.3,   24.5,    2.4,   17.7,   23.5,    9.4,    6.4,    2.2,    0.6,   80.7,   83.2,   19.3,   16.8,    112,      9,      6,     10,     16,     18,     10,     20,     28,     20,     12,.,.,     77,     78,    19.6,    20.7,    30.9,    31.2,    19.4,    20.7,    29.3,    29.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",211130,2021-11-30,090741,CME ,00,090 ,  174035,   15775,   25813,   11761,   47183,   38639,    4765,   31884,   41553,   18327,    9808,    4281,     927,  140430,  146065,   33605,   27970,    1908,    7755,  -18722,    1185,   -2341,    5734,     688,   -2117,    5057,    3190,    -682,     141,     152,    7830,   -2575,   -5922,    4483,  100.0,    9.1,   14.8,    6.8,   27.1,   22.2,    2.7,   18.3,   23.9,   10.5,    5.6,    2.5,    0.5,   80.7,   83.9,   19.3,   16.1,    104,      5,      8,      7,     18,     16,     11,     19,     24,     18,     11,.,.,     72,     71,    21.3,    23.9,    34.0,    34.6,    21.2,    23.8,    32.6,    32.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",211123,2021-11-23,090741,CME ,00,090 ,  172127,    8020,   44535,   10576,   49523,   32905,    4077,   34001,   36496,   15137,   10491,    4140,     774,  132600,  148640,   39527,   23487,    4983,    4802,  -17885,    1644,   -3466,   14045,    -980,    3012,    2149,    3805,   -1610,    1260,     748,    7954,    4784,   -2971,     199,  100.0,    4.7,   25.9,    6.1,   28.8,   19.1,    2.4,   19.8,   21.2,    8.8,    6.1,    2.4,    0.4,   77.0,   86.4,   23.0,   13.6,    101,      5,      8,      8,     18,     12,      8,     17,     26,     18,     11,      4,.,     72,     65,    20.6,    32.0,    31.9,    44.1,    20.5,    30.9,    30.2,    40.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",211116,2021-11-16,090741,CME ,00,090 ,  167144,    3218,   62420,    8933,   52989,   18860,    5057,   30989,   34347,   11333,   12100,    2880,      27,  124646,  143857,   42498,   23287,   -3687,     404,   -4552,    1531,   -5945,    3895,     183,    1681,   -6750,    1552,    -698,    -289,     -16,   -1309,   -4447,   -2378,     760,  100.0,    1.9,   37.3,    5.3,   31.7,   11.3,    3.0,   18.5,   20.5,    6.8,    7.2,    1.7,    0.0,   74.6,   86.1,   25.4,   13.9,    100,      4,     10,      8,     21,     10,     10,     18,     22,     16,     12,.,.,     75,     61,    22.2,    33.0,    33.8,    46.6,    22.0,    31.9,    31.4,    44.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",211109,2021-11-09,090741,CME ,00,090 ,  170831,    2815,   66972,    7402,   58934,   14965,    4874,   29308,   41097,    9781,   12798,    3170,      43,  125955,  148304,   44876,   22527,   -6959,     315,    -394,   -2061,    1453,    3656,   -1748,     885,   -1288,   -4473,     693,     -26,    -828,   -5763,   -7162,   -1196,     203,  100.0,    1.6,   39.2,    4.3,   34.5,    8.8,    2.9,   17.2,   24.1,    5.7,    7.5,    1.9,    0.0,   73.7,   86.8,   26.3,   13.2,    104,      4,     10,      8,     22,     10,     11,     20,     23,     15,     12,.,.,     79,     61,    21.7,    31.4,    32.3,    44.5,    21.6,    31.2,    31.1,    43.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",211102,2021-11-02,090741,CME ,00,090 ,  177790,    2499,   67366,    9463,   57481,   11308,    6623,   28423,   42385,   14254,   12105,    3196,     871,  131718,  155465,   46072,   22325,   -4534,     393,    1126,    -175,    4219,   -2022,   -1431,   -7118,   -2484,   -1160,    -631,      39,    -255,   -6159,   -6363,    1625,    1829,  100.0,    1.4,   37.9,    5.3,   32.3,    6.4,    3.7,   16.0,   23.8,    8.0,    6.8,    1.8,    0.5,   74.1,   87.4,   25.9,   12.6,    112,      4,     10,      8,     20,     13,     10,     24,     23,     17,     12,      6,.,     81,     69,    20.5,    31.8,    30.9,    44.2,    20.5,    31.7,    28.7,    42.5,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",211026,2021-10-26,090741,CME ,00,090 ,  182324,    2106,   66240,    9638,   53262,   13330,    8053,   35540,   44869,   15414,   12737,    3157,    1126,  137877,  161828,   44447,   20496,    5973,   -5188,   12361,    3256,    1767,   -6676,     322,    2988,    -907,    -164,     -56,    -748,     -84,    2840,    7360,    3133,   -1387,  100.0,    1.2,   36.3,    5.3,   29.2,    7.3,    4.4,   19.5,   24.6,    8.5,    7.0,    1.7,    0.6,   75.6,   88.8,   24.4,   11.2,    119,      4,     10,      8,     20,     16,     11,     26,     25,     20,     12,      6,.,     89,     72,    18.5,    31.4,    29.6,    44.2,    18.4,    31.2,    26.8,    41.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
