"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",191231,2019-12-31,090741,CME ,00,090 ,  193703,    7669,   77067,    5208,   58267,   13153,    6522,   36104,   56578,   11900,   19633,    2377,     176,  145478,  172981,   48225,   20722,   22657,    2633,    5530,    1337,    3451,   -3340,     109,    2394,   14275,    1591,    2790,     508,     -58,   14247,   19953,    8410,    2704,  100.0,    4.0,   39.8,    2.7,   30.1,    6.8,    3.4,   18.6,   29.2,    6.1,   10.1,    1.2,    0.1,   75.1,   89.3,   24.9,   10.7,    117,      4,     11,      5,     24,     11,     14,     26,     25,     15,     10,      5,.,     82,     72,    17.5,    40.3,    29.3,    53.8,    17.3,    39.9,    26.8,    53.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",191224,2019-12-24,090741,CME ,00,090 ,  171046,    5035,   71537,    3871,   54816,   16494,    6413,   33711,   42302,   10309,   16843,    1869,     233,  131231,  153028,   39815,   18018,  -33806,   -1686,      57,  -25790,   11100,   -5431,     413,   -3325,   10012,   -8680,     426,     162,     213,  -27329,  -29044,   -6477,   -4762,  100.0,    2.9,   41.8,    2.3,   32.0,    9.6,    3.7,   19.7,   24.7,    6.0,    9.8,    1.1,    0.1,   76.7,   89.5,   23.3,   10.5,    110,      4,     10,      5,     25,     11,     14,     23,     23,     13,      9,.,.,     77,     68,    19.7,    44.6,    30.6,    55.9,    19.2,    44.1,    28.3,    55.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",191217,2019-12-17,090741,CME ,00,090 ,  204852,    6722,   71480,   29661,   43715,   21924,    6000,   37035,   32290,   18989,   16417,    1707,      20,  158560,  182072,   46292,   22780,   22682,   -3533,    5019,   16942,    5497,   -7018,    -373,  -11139,    7235,    5612,     969,    -676,     -12,   13963,   26729,    8719,   -4047,  100.0,    3.3,   34.9,   14.5,   21.3,   10.7,    2.9,   18.1,   15.8,    9.3,    8.0,    0.8,    0.0,   77.4,   88.9,   22.6,   11.1,    104,      6,      9,     10,     21,     14,     15,     22,     19,     19,      9,.,.,     80,     70,    25.9,    47.2,    35.4,    57.3,    18.7,    37.5,    24.7,    46.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",191210,2019-12-10,090741,CME ,00,090 ,  182170,   10255,   66460,   12719,   38218,   28942,    6374,   48174,   25056,   13377,   15448,    2383,      32,  144597,  155342,   37573,   26828,  -16863,   -1401,     128,   -6439,     724,   -3620,    -676,   -8275,   -5581,   -1840,   -1476,     311,    -155,  -19537,  -17872,    2674,    1009,  100.0,    5.6,   36.5,    7.0,   21.0,   15.9,    3.5,   26.4,   13.8,    7.3,    8.5,    1.3,    0.0,   79.4,   85.3,   20.6,   14.7,    102,      7,      8,      8,     17,     14,     13,     27,     18,     13,      9,.,.,     75,     63,    22.3,    41.2,    32.7,    51.8,    21.8,    38.7,    29.9,    48.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",191203,2019-12-03,090741,CME ,00,090 ,  199033,   11656,   66333,   19158,   37495,   32562,    7049,   56449,   30637,   15217,   16924,    2072,     187,  164134,  173215,   34899,   25818,   18146,    2733,   -7478,   13877,   -1197,    5781,    1062,     862,    -123,    3229,    -603,      -7,     149,   20110,   16490,   -1964,    1656,  100.0,    5.9,   33.3,    9.6,   18.8,   16.4,    3.5,   28.4,   15.4,    7.6,    8.5,    1.0,    0.1,   82.5,   87.0,   17.5,   13.0,    117,      8,      8,      8,     18,     16,     12,     26,     25,     18,     12,.,.,     81,     77,    23.6,    41.5,    36.7,    51.8,    22.4,    37.0,    31.5,    46.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",191126,2019-11-26,090741,CME ,00,090 ,  180887,    8923,   73810,    5281,   38692,   26781,    5987,   55587,   30760,   11988,   17527,    2079,      38,  144024,  156725,   36863,   24162,   -5185,    2356,  -13690,    -208,   -3795,    8247,    -276,   -3075,     -18,     440,    -329,       8,    -161,   -5046,   -5657,    -139,     472,  100.0,    4.9,   40.8,    2.9,   21.4,   14.8,    3.3,   30.7,   17.0,    6.6,    9.7,    1.1,    0.0,   79.6,   86.6,   20.4,   13.4,    114,      7,      7,      7,     19,     15,     12,     27,     24,     16,     12,.,.,     80,     72,    25.6,    44.7,    37.3,    53.4,    25.1,    43.7,    34.6,    52.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",191119,2019-11-19,090741,CME ,00,090 ,  186072,    6567,   87501,    5488,   42487,   18534,    6263,   58663,   30778,   11548,   17856,    2071,     198,  149070,  162382,   37002,   23690,   -8084,     -30,  -20181,    2744,  -11107,    4720,    -248,   -2014,     253,    3186,    -346,      -8,     102,   -7713,   -9432,    -371,    1348,  100.0,    3.5,   47.0,    2.9,   22.8,   10.0,    3.4,   31.5,   16.5,    6.2,    9.6,    1.1,    0.1,   80.1,   87.3,   19.9,   12.7,    116,      5,     10,      7,     22,     11,     12,     28,     24,     13,     13,.,      5,     81,     72,    25.7,    48.5,    36.4,    57.2,    25.1,    47.4,    34.0,    56.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",191112,2019-11-12,090741,CME ,00,090 ,  194156,    6597,  107682,    2745,   53594,   13814,    6512,   60676,   30525,    8361,   18202,    2079,      96,  156783,  171814,   37373,   22342,  -11867,     207,  -10949,     155,  -12707,    2275,     848,    1538,   -5398,    1023,    1091,     -40,    -363,   -8208,  -12449,   -3659,     582,  100.0,    3.4,   55.5,    1.4,   27.6,    7.1,    3.4,   31.3,   15.7,    4.3,    9.4,    1.1,    0.0,   80.8,   88.5,   19.2,   11.5,    115,      5,     10,      7,     25,      9,     13,     30,     21,     15,     12,.,      4,     87,     67,    26.3,    50.8,    36.9,    62.8,    25.9,    50.8,    35.2,    62.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",191105,2019-11-05,090741,CME ,00,090 ,  206023,    6389,  118631,    2590,   66301,   11539,    5664,   59139,   35923,    7338,   17111,    2119,     459,  164990,  184263,   41033,   21760,    1643,    -415,   11833,    -202,    -250,    1212,   -1716,    6225,   -5488,   -2025,    1767,    -540,    -401,    2983,    2673,   -1340,   -1030,  100.0,    3.1,   57.6,    1.3,   32.2,    5.6,    2.7,   28.7,   17.4,    3.6,    8.3,    1.0,    0.2,   80.1,   89.4,   19.9,   10.6,    116,      4,     11,      6,     26,      8,     12,     26,     23,     16,     14,.,      7,     86,     71,    27.4,    52.0,    39.2,    62.8,    27.4,    52.0,    38.1,    62.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",191029,2019-10-29,090741,CME ,00,090 ,  204380,    6804,  106798,    2792,   66551,   10327,    7379,   52914,   41412,    9363,   15344,    2659,     860,  162007,  181590,   42373,   22790,   19749,    -929,   21287,    -123,   10993,   -3710,     824,    9655,    5196,   -1949,   -2543,    -588,     204,   16131,   21140,    3618,   -1391,  100.0,    3.3,   52.3,    1.4,   32.6,    5.1,    3.6,   25.9,   20.3,    4.6,    7.5,    1.3,    0.4,   79.3,   88.8,   20.7,   11.2,    118,      4,     10,      7,     23,     10,     14,     28,     25,     16,     13,      4,      6,     91,     70,    27.9,    47.7,    38.8,    58.7,    27.7,    47.7,    36.3,    58.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
