"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",241231,2024-12-31,090741,CME ,00,090 ,  353686,  254303,    9994,     320,   26848,  189077,    6751,    9682,   94539,    5356,   23540,    7351,       0,  326800,  313388,   26886,   40298,    7744,    -439,   -1194,      90,       3,    2668,    1362,    1910,    2655,     554,    4804,     414,       0,    8284,    6549,    -540,    1195,  100.0,   71.9,    2.8,    0.1,    7.6,   53.5,    1.9,    2.7,   26.7,    1.5,    6.7,    2.1,    0.0,   92.4,   88.6,    7.6,   11.4,    131,     11,      5,.,      9,     39,     10,      9,     42,      9,     10,      5,      0,     53,     99,    68.1,    29.0,    77.0,    43.7,    68.0,    28.7,    76.9,    43.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",241224,2024-12-24,090741,CME ,00,090 ,  345942,  254742,   11188,     230,   26845,  186409,    5389,    7772,   91884,    4802,   18736,    6937,       0,  318516,  306839,   27426,   39103, -139650,   -7983,   -7166, -121741,     489,    3562,     441,   -7531,    2688,   -2251,     210,  -12174,       0, -138366, -136641,   -1284,   -3009,  100.0,   73.6,    3.2,    0.1,    7.8,   53.9,    1.6,    2.2,   26.6,    1.4,    5.4,    2.0,    0.0,   92.1,   88.7,    7.9,   11.3,    133,     11,      5,.,     10,     38,      9,      9,     45,      8,     11,      4,      0,     54,     98,    69.7,    29.8,    78.7,    44.2,    69.6,    29.5,    78.3,    43.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",241217,2024-12-17,090741,CME ,00,090 ,  485592,  262725,   18354,  121971,   26356,  182847,    4948,   15303,   89196,    7053,   18526,   19111,       0,  456882,  443480,   28710,   42112,   77411,    8312,    5807,   88472,   -2362,   10564,   -2669,   -3672,   -9227,   -7703,   -1486,   -5372,       0,   78892,   79872,   -1481,   -2461,  100.0,   54.1,    3.8,   25.1,    5.4,   37.7,    1.0,    3.2,   18.4,    1.5,    3.8,    3.9,    0.0,   94.1,   91.3,    5.9,    8.7,    134,     10,      6,      8,      9,     36,      7,     12,     44,     13,     10,      6,      0,     57,    105,    71.7,    29.4,    80.6,    46.1,    52.7,    20.3,    57.9,    30.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",241210,2024-12-10,090741,CME ,00,090 ,  408181,  254413,   12547,   33499,   28718,  172283,    7617,   18975,   98423,   14756,   20012,   24483,       0,  377990,  363608,   30191,   44573,   83856,   35328,   -2332,   32642,    1561,   18446,    3065,    8904,   14522,    5724,   -1623,    5311,    -327,   85274,   77051,   -1418,    6805,  100.0,   62.3,    3.1,    8.2,    7.0,   42.2,    1.9,    4.6,   24.1,    3.6,    4.9,    6.0,    0.0,   92.6,   89.1,    7.4,   10.9,    141,     12,      8,      8,     10,     37,      8,     12,     44,     14,     11,      7,      0,     61,    110,    61.3,    20.7,    73.2,    32.6,    58.7,    20.6,    65.3,    32.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",241203,2024-12-03,090741,CME ,00,090 ,  324325,  219085,   14879,     857,   27157,  153837,    4552,   10071,   83901,    9032,   21635,   19172,     327,  292716,  286557,   31609,   37768,    1905,    3817,     338,   -1602,   -1355,    3596,    -169,    3008,    -388,   -1224,   -1297,    -964,     327,    1505,     -86,     400,    1991,  100.0,   67.6,    4.6,    0.3,    8.4,   47.4,    1.4,    3.1,   25.9,    2.8,    6.7,    5.9,    0.1,   90.3,   88.4,    9.7,   11.6,    137,      9,      9,      4,     10,     39,      7,     14,     38,     11,     12,      6,.,     58,    102,    66.2,    20.7,    75.3,    34.4,    66.1,    20.7,    73.2,    34.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",241126,2024-11-26,090741,CME ,00,090 ,  322420,  215268,   14541,    2459,   28512,  150241,    4721,    7063,   84289,   10256,   22932,   20136,       0,  291211,  286643,   31209,   35777,  -25934,  -26971,     863,    1773,     448,  -20641,     124,   -3794,  -12271,    1261,      64,    4338,      -2,  -27097,  -24555,    1163,   -1379,  100.0,   66.8,    4.5,    0.8,    8.8,   46.6,    1.5,    2.2,   26.1,    3.2,    7.1,    6.2,    0.0,   90.3,   88.9,    9.7,   11.1,    135,      9,     10,      4,     10,     41,      8,     10,     38,     11,     11,      6,      0,     56,    102,    66.7,    20.1,    75.6,    33.8,    66.0,    20.1,    73.0,    33.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",241119,2024-11-19,090741,CME ,00,090 ,  348354,  242239,   13678,     686,   28064,  170882,    4597,   10857,   96560,    8995,   22868,   15798,       2,  318308,  311198,   30046,   37156,    5797,    -494,    4256,     468,     103,    -331,    -833,    2917,   -2019,    1416,     910,    3363,      -8,    4479,    6312,    1318,    -515,  100.0,   69.5,    3.9,    0.2,    8.1,   49.1,    1.3,    3.1,   27.7,    2.6,    6.6,    4.5,    0.0,   91.4,   89.3,    8.6,   10.7,    139,      9,      8,.,     10,     40,      7,     11,     44,     13,     12,      5,.,     56,    107,    68.0,    24.1,    77.1,    36.3,    68.0,    24.1,    75.0,    36.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",241112,2024-11-12,090741,CME ,00,090 ,  342557,  242733,    9422,     218,   27961,  171213,    5430,    7940,   98579,    7579,   21958,   12435,      10,  313829,  304886,   28728,   37671,    6090,   13151,   -2262,     -43,      32,    4678,    -695,   -8789,   -6452,    1617,    1470,    6646,   -1013,    5730,    2476,     360,    3614,  100.0,   70.9,    2.8,    0.1,    8.2,   50.0,    1.6,    2.3,   28.8,    2.2,    6.4,    3.6,    0.0,   91.6,   89.0,    8.4,   11.0,    132,     11,      6,.,     10,     37,      8,      9,     42,     13,     12,      5,.,     57,     99,    68.7,    27.9,    77.2,    41.1,    68.7,    27.9,    75.7,    41.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",241105,2024-11-05,090741,CME ,00,090 ,  336467,  229582,   11684,     261,   27929,  166535,    6125,   16729,  105031,    5962,   20488,    5789,    1023,  308099,  302410,   28368,   34057,    6522,   10002,    1364,      48,    -363,    2132,    1036,   -3629,    3862,    -376,    -219,    -489,    -277,    6222,    7300,     300,    -778,  100.0,   68.2,    3.5,    0.1,    8.3,   49.5,    1.8,    5.0,   31.2,    1.8,    6.1,    1.7,    0.3,   91.6,   89.9,    8.4,   10.1,    132,      8,      9,.,     10,     37,      7,     14,     38,      9,     12,      4,      4,     56,     98,    67.9,    26.6,    76.5,    40.8,    67.9,    26.6,    75.1,    40.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",241029,2024-10-29,090741,CME ,00,090 ,  329945,  219580,   10320,     213,   28292,  164403,    5089,   20358,  101169,    6338,   20707,    6278,    1300,  301877,  295110,   28068,   34835,   21666,   18533,     156,     161,     684,    5626,     -84,   -1648,   14262,    2502,    2174,     996,     -87,   22235,   23532,    -569,   -1866,  100.0,   66.6,    3.1,    0.1,    8.6,   49.8,    1.5,    6.2,   30.7,    1.9,    6.3,    1.9,    0.4,   91.5,   89.4,    8.5,   10.6,    134,     10,      7,.,     10,     38,      9,     16,     35,     11,     14,      4,.,     61,     98,    65.5,    27.1,    73.8,    41.4,    65.5,    27.1,    72.9,    41.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
