"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161227,2016-12-27,090741,CME ,00,090 ,   93212,    7842,    9303,       0,   26244,   10813,     458,   25456,   33811,    1941,    5478,    4022,     536,   67955,   60884,   25257,   32328,  -12868,  -11628,  -11061,   -4094,   -2992,    1667,      -5,   11018,    2260,   -2787,     315,   -1036,   -1208,  -11381,  -16264,   -1487,    3396,  100.0,    8.4,   10.0,    0.0,   28.2,   11.6,    0.5,   27.3,   36.3,    2.1,    5.9,    4.3,    0.6,   72.9,   65.3,   27.1,   34.7,     86,      5,      5,      0,      7,     10,.,     22,     26,      9,      7,      4,.,     47,     51,    28.7,    16.0,    42.7,    30.2,    28.3,    16.0,    42.2,    30.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161220,2016-12-20,090741,CME ,00,090 ,  106080,   19470,   20364,    4094,   29236,    9146,     463,   14438,   31551,    4728,    5163,    5058,    1744,   79336,   77148,   26744,   28932,   -8185,   -1819,    1663,    2547,    -749,     846,       5,   -2255,  -11259,   -1045,     879,     870,    -123,   -2560,   -6496,   -5625,   -1689,  100.0,   18.4,   19.2,    3.9,   27.6,    8.6,    0.4,   13.6,   29.7,    4.5,    4.9,    4.8,    1.6,   74.8,   72.7,   25.2,   27.3,     90,      6,      9,      6,      9,     10,.,     16,     28,      8,      7,      5,.,     50,     60,    32.4,    21.0,    43.7,    34.1,    29.9,    21.0,    41.1,    32.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161213,2016-12-13,090741,CME ,00,090 ,  114265,   21289,   18701,    1547,   29985,    8300,     458,   16693,   42810,    5773,    4284,    4188,    1867,   81896,   83644,   32369,   30621,    6976,   -7513,    -293,    1146,    2391,   -2377,    -116,    3564,    6105,    2912,    -265,    1225,     -81,    2038,    8521,    4938,   -1545,  100.0,   18.6,   16.4,    1.4,   26.2,    7.3,    0.4,   14.6,   37.5,    5.1,    3.7,    3.7,    1.6,   71.7,   73.2,   28.3,   26.8,     82,      6,      8,      5,      9,      7,.,     15,     26,     11,      5,      6,.,     46,     57,    31.7,    21.8,    43.7,    36.8,    30.2,    21.8,    41.4,    36.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161206,2016-12-06,090741,CME ,00,090 ,  107289,   28802,   18994,     401,   27594,   10677,     574,   13129,   36705,    2861,    4549,    2963,    1948,   79858,   75123,   27431,   32166,   -7127,  -11823,    -262,      69,     228,   -2282,     -88,    2428,   -2722,     343,     -66,     -96,     177,   -8732,   -4861,    1605,   -2266,  100.0,   26.8,   17.7,    0.4,   25.7,   10.0,    0.5,   12.2,   34.2,    2.7,    4.2,    2.8,    1.8,   74.4,   70.0,   25.6,   30.0,     86,      8,      6,      6,      9,     10,.,     12,     30,     12,      6,      5,      4,     49,     61,    36.9,    22.5,    47.6,    36.4,    36.0,    22.5,    46.8,    36.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161129,2016-11-29,090741,CME ,00,090 ,  114416,   40625,   19256,     332,   27366,   12959,     662,   10701,   39427,    2518,    4615,    3059,    1771,   88590,   79984,   25826,   34432,   -4251,   -3042,    -200,     105,   -2205,     106,     -35,     679,   -2342,     207,   -1170,     201,      15,   -5446,   -1943,    1195,   -2308,  100.0,   35.5,   16.8,    0.3,   23.9,   11.3,    0.6,    9.4,   34.5,    2.2,    4.0,    2.7,    1.5,   77.4,   69.9,   22.6,   30.1,     90,      8,      6,.,      9,     14,.,     11,     31,     11,      6,      5,      4,     44,     67,    42.4,    19.0,    53.9,    32.1,    41.7,    19.0,    53.2,    32.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161122,2016-11-22,090741,CME ,00,090 ,  118667,   43667,   19456,     227,   29571,   12853,     697,   10022,   41769,    2311,    5785,    2858,    1756,   94036,   81927,   24631,   36740,   -6865,   -2450,    1419,       2,    1007,     891,      41,   -4840,   -6589,    -266,    -384,    -562,      18,   -6872,   -5046,       7,   -1819,  100.0,   36.8,   16.4,    0.2,   24.9,   10.8,    0.6,    8.4,   35.2,    1.9,    4.9,    2.4,    1.5,   79.2,   69.0,   20.8,   31.0,     93,      8,      7,      4,     10,     14,.,     11,     30,     11,      8,      5,      4,     47,     68,    42.5,    18.6,    54.4,    31.7,    41.8,    18.6,    53.7,    31.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161115,2016-11-15,090741,CME ,00,090 ,  125532,   46117,   18037,     225,   28564,   11962,     656,   14862,   48358,    2577,    6169,    3420,    1738,  100908,   86973,   24624,   38559,    4539,    4427,     -97,      35,    1950,   -1587,       0,   -2659,    1541,    1528,     186,   -1122,     445,    5912,     743,   -1373,    3796,  100.0,   36.7,   14.4,    0.2,   22.8,    9.5,    0.5,   11.8,   38.5,    2.1,    4.9,    2.7,    1.4,   80.4,   69.3,   19.6,   30.7,     94,      7,      6,.,      9,     12,.,     12,     34,     12,      9,      5,      4,     47,     67,    42.9,    18.3,    54.0,    30.0,    42.2,    18.3,    53.3,    30.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161108,2016-11-08,090741,CME ,00,090 ,  120993,   41690,   18134,     190,   26614,   13549,     656,   17521,   46817,    1049,    5983,    4542,    1293,   94996,   86230,   25997,   34763,    -163,    8540,    1844,     113,   -1804,   -4758,    -173,   -5915,    5153,     190,      24,   -1350,     229,    1204,    1248,   -1367,   -1411,  100.0,   34.5,   15.0,    0.2,   22.0,   11.2,    0.5,   14.5,   38.7,    0.9,    4.9,    3.8,    1.1,   78.5,   71.3,   21.5,   28.7,     93,      7,      6,.,      8,     14,.,     15,     29,     11,      9,      5,      4,     47,     65,    41.8,    19.9,    54.9,    32.0,    41.1,    19.9,    54.2,    32.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161101,2016-11-01,090741,CME ,00,090 ,  121156,   33150,   16290,      77,   28418,   18307,     829,   23436,   41664,     859,    5959,    5892,    1064,   93792,   84982,   27364,   36174,    7655,    7693,   -1043,      40,    -656,    3837,    -166,     -24,    5197,     140,    1154,    -310,     165,    8346,    7860,    -691,    -205,  100.0,   27.4,   13.4,    0.1,   23.5,   15.1,    0.7,   19.3,   34.4,    0.7,    4.9,    4.9,    0.9,   77.4,   70.1,   22.6,   29.9,     91,      5,      5,.,      7,     15,.,     16,     28,      7,      9,      6,      4,     44,     62,    36.6,    18.5,    53.3,    30.8,    36.0,    18.5,    52.7,    30.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",161025,2016-10-25,090741,CME ,00,090 ,  113501,   25457,   17333,      37,   29074,   14470,     995,   23460,   36467,     719,    4805,    6202,     899,   85446,   77122,   28055,   36379,   17708,   12406,     112,      15,   -4307,    4569,      59,    9528,    3799,    -213,    -194,    1837,     266,   17560,   10444,     148,    7264,  100.0,   22.4,   15.3,    0.0,   25.6,   12.7,    0.9,   20.7,   32.1,    0.6,    4.2,    5.5,    0.8,   75.3,   67.9,   24.7,   32.1,     87,      5,      5,.,      8,     12,      4,     15,     28,      5,      7,      7,.,     43,     58,    34.4,    19.1,    51.7,    30.2,    33.8,    19.1,    51.1,    30.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
